actor_id,actor_name
3129,Tim Roth
3131,Antonio Banderas
3130,Jennifer Beals
3125,Madonna
3141,Marisa Tomei
62,Bruce Willis
138,Quentin Tarantino
3122,Sammi Davis
3123,Amanda de Cadenet
3124,Valeria Golino
3127,Lili Taylor
2545,Lawrence Bender
3126,Ione Skye
3128,Alicia Witt
2555,David Proval
3132,Lana McKissack
3134,Tamlyn Tomita
3138,Kathy Griffin
3137,Paul Calderon
3136,Salma Hayek
3133,Patricia Vonne
3135,Danny Verduzco
37336,Kimberly Blair
3140,Marc Lawrence
206,Jim Carrey
3547,Ian McNeice
4001,Simon Callow
57096,Maynard Eziashi
4029,Bob Gunton
2598,Sophie Okonedo
88059,Tommy Davidson
31164,Adewale Akinnuoye-Agbaje
1080060,Danny D. Daniels
1080061,Sam Motoana Phillips
172354,Damon Standifer
158324,Andrew Steel
27752,Bruce Spence
171303,Tom Grunke
1080062,Arsenio 'Sonny' Trinidad
57755,Woody Harrelson
16866,Jennifer Lopez
9287,Robert Blake
2955,Chris Cooper
4887,Joe Grifasi
32287,Scott Sowers
33658,Skipp Sudduth
106791,Aida Turturro
47774,Vincent Pastore
15029,Enrico Colantoni
5502,Bill Nunn
203801,Katie Gill
15372,Jeremy Roberts
1811956,Joe Bacino
8891,John Travolta
193,Gene Hackman
14343,Rene Russo
518,Danny DeVito
1117,Dennis Farina
18792,Delroy Lindo
4691,James Gandolfini
9629,Jon Gries
53600,Renee Props
30488,Miguel Sandoval
16429,Jacob Vargas
53601,Bobby Slayton
53602,Linda Hart
141582,Jeffrey J. Stephen
10205,Sigourney Weaver
18686,Holly Hunter
883,Will Patton
18687,William McNamara
18688,Harry Connick Jr.
5169,J.E. Freeman
20212,Dermot Mulroney
60205,John Rothman
154691,Shannon O'Hurley
95838,Bob Greene
215904,Tony Haney
1074167,Danny Kovacs
167781,Tahmus Rounds
1074168,Scott Devenney
1074169,David Michael Silverman
16483,Sylvester Stallone
1231,Julianne Moore
58556,Anatoli Davydov
17348,Muse Watson
14328,Steve Kahan
47757,Kelly Rowan
31508,Reed Diamond
42146,Kai Wulff
58557,Kerry Skalsky
58558,James Douglas Haskins
58559,Stephen Liska
58560,John Harms
58561,Edward J. Rosen
58562,Christina Orchid
1611202,Choco Orta
543847,Germán Legarreta
54789,Sean Patrick Flanery
2714,Lance Henriksen
4785,Jeff Goldblum
36637,Brandon Smith
2963,Nicolas Cage
1951,Elisabeth Shue
6104,Julian Sands
6105,Richard Lewis
6107,Kim Adams
6108,Emily Procter
6109,Stuart Reynolds 
6110,Graham Beckel
6240,Mariska Hargitay
2138,Shawnee Smith
52418,David Kriegel
2975,Laurence Fishburne
1350,Irène Jacob
11181,Kenneth Branagh
27631,Nathaniel Parker
232174,Indra Ové
17483,Michael Maloney
1227643,Anna Patrick
32357,Nicholas Farrell
3968,Michael Sheen
6886,Christina Ricci
12929,Rosie O'Donnell
2155,Thora Birch
29369,Melanie Griffith
12930,Gaby Hoffmann
3416,Demi Moore
114471,Ashleigh Aston Moore
12931,Rita Wilson
141521,Walter Sparrow
50398,Devon Sawa
9599,Cloris Leachman
21197,Janeane Garofalo
12139,Lolita Davidovich
18269,Brendan Fraser
30318,Amanda Root
8785,Ciarán Hinds
87415,Susan Fleetwood
10981,Fiona Shaw
14465,John Woodvine
3930,Phoebe Nicholls
54447,Samuel West
32990,Sophie Thompson
45455,Judy Cornwell
57461,Simon Russell Beale
42645,Felicity Dean
27660,Roger Hammond
55645,Victoria Hamilton
13328,Corin Redgrave
1487246,Emma Roberts
25665,Robert Glenister
7025,Richard McCabe
1229181,Helen Schlesinger
1246598,Jane Wood
1227492,David Collings
217100,Darlene Johnson
1840472,Cinnamon Faye
1840473,Isaac Maxwell-Hunt
1073272,Roger Llewellyn
1241523,Sally George
1840474,Lonnie James
2372,Ron Perlman
2413,Dominique Pinon
13842,Judith Vittet
13843,Daniel Emilfork
13687,Jean-Claude Dreyfus
13845,Geneviève Brunet
13846,Odile Mallet
4394,Mireille Mossé
2410,Serge Merlin
2407,Rufus
13689,Ticky Holgado
100861,Cris Huerta
1352,Jean-Louis Trintignant
1653016,Joseph Lucien
103119,Mapi Galán
1653017,Briac Barthélémy
1653018,Pierre-Quentin Faesch
131998,Alexis Pivot
77904,François Hadji-Lazaro
28462,Dominique Bettenfeld
77905,Lotfi Yahya Jedidi
240388,Thierry Gibault
13680,Marc Caro
992717,Ham-Chau Luong
17618,Frankie Pain
1323011,Enrique Villanueva
97062,Dominique Chevalier
2409,Lorella Cravotta
580580,Éric Houzelot
1176105,Philippe Beautier
1336073,Marc Amyot
566292,Jean-Philippe Labadie
1048762,Raphaèle Bouchard
1330767,Elisabeth Etienne
1529774,Rachel Boulenger
1242620,Michel Motu
9745,Nane Germon
643,Gong Li
146097,Li Bao-Tian
150151,Wang Xiaoxiao
143358,Li Xuejian
150152,Chun Sung
150153,Fu Biao
1160,Michelle Pfeiffer
10477,George Dzundza
24047,Courtney B. Vance
11902,Robin Bartlett
12642,John Neville
168638,Beatrice Winde
81726,Lorraine Toussaint
28863,Renoly Santiago
975133,Wade Dominguez
188642,Bruklin Harris
1074671,Mercello Thedford
156637,Roberto Alvarez
190913,Richard Grant
1074672,Marisela Gonzales
1074673,Toni Nichelle Buzhardt
289,Madeleine Stowe
287,Brad Pitt
290,Christopher Plummer
52,David Morse
288,Jon Seda
291,Frank Gorshin
975569,Joseph Melito
1273540,Aaron Michael Lacey
22227,Christopher Meloni
1318900,Joey Perillo
534231,LisaGay Hamilton
11154,Matt Ross
66094,Annie Golden
1077231,Michael Chance
1571784,Vernon Campbell
1571785,H. Michael Walls
1328063,Bob Adrian
37891,Simon Jones
1077235,Carol Florence
7576,Bill Raymond
59112,Ernest Abuba
155573,Irma St. Paule
1571787,Rozwill Young
1571788,Nell Johnson
292,Frederick Strother
127069,Charles Techman
163795,Rick Warner
1387844,Anthony 'Chip' Brienza
1217615,Bruce Kirkpatrick
1571786,Wilfred Williams
1607131,Joilet Harris
32800,Drucie McDaniel
1607135,John Blaisse
1607137,Louis Lippa
1607142,Stan Kang
1607143,Pat Dias
1542805,Felix Pire
1607146,Karl Warren
141458,Joseph McKenna
81692,Stephen Bridgewater
1607153,Ray Huffman
1218075,Charley Scalies
1607159,Robert O'Neill
1607160,Paul Meshejian
171294,Kevin Thigpen
1039871,Harry O'Toole
1611167,Jann Ellis
131007,Michael Ryan Segal
1607168,Korchenko
933507,Chuck Jeffreys
1611166,Barry Price
60569,John Panzarella
1611170,Janet Zappala
568367,Lisa Talerico
1607174,Tiffany Baldwin
7528,C.J. Byrnes
1298410,Tom Detrik
1611142,Joe Gerety
1611143,Renee Spei
1611164,Bonnie Loev
1106629,Raymond Mamrak
127620,Sal Mazzotta
2696,Allelon Ruggiero
1611197,Thang
4138,Craig Sheffer
4513,Elizabeth McGovern
3999,Tom Hulce
58406,Ken Pogue
554094,Ron Sauvé
156330,Freddy Andreiuci
58136,Christine Cavanaugh
1331,Hugo Weaving
35109,Miriam Flynn
2505,James Cromwell
6035,Russi Taylor
1080206,Evelyn Krape
1080207,Michael Edward-Stevens
1229258,Charles Bartlett
61351,Paul Livingston
24368,Roscoe Lee Browne
45586,Magda Szubanski
1080208,Zoe Burton
9380,Paul Goddard
1080209,Wade Hayward
210276,Brittany Byrnes
75934,Mary Acres
378,Jonathan Pryce
27764,Steven Waddington
17328,Rufus Sewell
1249,Penelope Wilton
47627,Janet McTeer
18325,Jeremy Northam
83701,Alex Kingston
186389,Richard Clifford
27822,David Ryall
47943,Stephen Boxer
4038,Susan Sarandon
2228,Sean Penn
10360,Robert Prosky
1989,Celia Weston
2207,Lois Smith
6914,Scott Wilson
10362,Roberta Maxwell
70851,Jack Black
10366,Ray Aranha
133,Peter Sarsgaard
79732,Barton Heyman
1183429,Steve Boles
21152,Nesbitt Blaisdell
19511,Larry Pine
25711,Kevin Cooney
6574,Clancy Brown
1232566,Michael Cullen
51384,Missy Yager
1237883,Jenny Krochmal
17866,Jon Abrahams
1223451,Arthur Bridgers
95940,Steve Carlisle
56757,Eva Amurri Martino
1366946,Jack Henry Robbins
93679,Dennis Neal
62570,Molly Bryant
1591178,Adele Robbins
1371000,Pete Burris
1407052,Joan Glover
20765,Lenore Banks
75611,Cortez Nance Jr.
4732,Adam Nelson
108147,Jeremy Knaster
16460,Marcus Lyle Brown
1411679,Anthony Michael Frederick
1191341,Thomas McGowan
1463362,Codie Scott
10298,Helen Prejean
1467084,Peter Reznick
1467085,John McDonough
1467086,Avi Hoffman
19208,Matt Malloy
1218074,Abby Lewis
1796,Kirstie Alley
26472,Steve Guttenberg
67848,Ashley Olsen
67849,Mary-Kate Olsen
92255,Jane Sibbett
6541,Philip Bosco
1331570,Michelle Grisom
1329538,Desmond Robertson
1331571,Tiny Mills
1331572,Shanelle Henry
1331573,Michèle Lonsdale Smith
1331574,Sean Orr
1331575,Elizabeth Walsh
5588,Alicia Silverstone
58150,Stacey Dash
328,Brittany Murphy
22226,Paul Rudd
49002,Donald Faison
58151,Elisa Donovan
33654,Breckin Meyer
23958,Jeremy Sisto
66160,Twink Caplan
30881,Justin Walker
40680,Julie Brown
17775,Nicole Bilderback
15152,James Earl Jones
17764,Charles S. Dutton
123831,Jack Robinson
123833,Tsholofelo Wechoemang
123834,Ramalao Makhene
194,Richard Harris
89307,Dolly Rathebe
111179,Jennifer Steyn
1035098,Ian Roberts
1073473,David Clatworthy
1327,Ian McKellen
388,Jim Broadbent
5470,Kristin Scott Thomas
42566,Adrian Dunbar
10978,Maggie Smith
41043,Tim McInnerny
3223,Robert Downey Jr.
3545,Edward Hardwicke
15788,Nigel Hawthorne
20070,Jim Carter
17287,Dominic West
104795,Bill Paterson
20425,Donald Sumpter
7027,James Dreyfus
1271092,Derek Lyons
18291,Larenz Tate
65827,Keith David
66,Chris Tucker
6862,Freddy Rodríguez
69447,Rose Jackson
10824,N'Bushe Wright
58924,Clifton Powell
18288,Terrence Howard
71913,Bokeem Woodbine
1277051,Sticky Fingaz
5365,Clifton Collins Jr
65421,Elizabeth Rodriguez
11486,Michael Imperioli
5344,Meg Ryan
4783,Sam Neill
11207,David Thewlis
6416,Polly Walker
27762,Ian McDiarmid
97170,Mary MacLeod
1229022,Willie Ross
38559,Christopher Lambert
57250,Robin Shou
57251,Linden Ashby
11398,Cary-Hiroyuki Tagawa
10680,Talisa Soto
57252,Trevor Goddard
57253,Chris Casamassa
57254,François Petit
57255,Keith Cooke
57256,Ed Boon
2227,Nicole Kidman
2876,Matt Dillon
73421,Joaquin Phoenix
1893,Casey Affleck
7796,Illeana Douglas
2841,Alison Folland
4201,Wayne Knight
224,David Cronenberg
2115,Kurtwood Smith
11318,Holland Taylor
1185405,Maria Tucci
33835,Tim Hopper
1920,Winona Ryder
9560,Ellen Burstyn
18794,Kate Nelligan
14500,Jean Simmons
54424,Maya Angelou
1981,Alfre Woodard
689,Kate Capshaw
9626,Rip Torn
51670,Johnathon Schaech
59662,Joanna Going
5700,Esther Rolle
7499,Jared Leto
6194,Claire Danes
78788,Lecy Goranson
40275,Tim Guinee
14325,Derrick O'Connor
11628,Loren Dean
4778,Melinda Dillon
28633,Richard Jenkins
10480,Denis Arndt
2059,Adam Baldwin
1848887,Michael McElroy
465117,Ari Meyers
33497,Jane Alden
59154,Tamala Jones
18346,Rae'Ven Larrymore Kelly
1346644,Alicia Goranson
32363,Will Estes
192,Morgan Freeman
12052,Gwyneth Paltrow
1979,Kevin Spacey
6487,Richard Roundtree
31028,Richard Schiff
1558263,Julie Araskog
534,Mark Boone Junior
12055,John Cassini
38951,Reg E. Cathey
30487,Peter Crombie
12056,Hawthorne James
9289,Michael Massee
2221,Leland Orser
4255,Richard Portnow
12054,Daniel Zacapa
52603,Alfonso Freeman
10688,Harris Savides
12047,Andrew Kevin Walker
7472,Richmond Arquette
128203,Pamala Tyson
157434,Emily Wagner
95469,Shannon Wilcox
1583695,George Christy
43461,Endre Hules
1025337,William Davidson
1055173,Bob Collins
95200,Dominique Jennings
31533,Allan Kolman
152638,Gene Borkan
176969,Mario Di Donato
1487328,Harrison White
17449,Bob Stephenson
174037,Michael Reid MacKay
42200,Lennie Loftin
1107809,Martin Serene
91843,David Correia
9783,Lexie Bigham
175120,Evan Mirand
1492029,Paul Eckstein
1114784,Rachel Flanagan
11321,Heidi Schanz
168162,Brian Evers
54433,James Deeth
16563,Charles A. Tamburro
944,Arthur Max
65529,Irene Bedard
2461,Mel Gibson
28010,David Ogden Stiers
31365,John Kassir
3203,Russell Means
3894,Christian Bale
110316,Judy Kuhn
12516,Linda Hunt
9188,Billy Connolly
181486,Joe Baker
163070,Michelle St. John
950126,James Apaumut Fall
37430,Gordon Tootoosis
54818,Pascale Bussières
54819,Rachael Crawford
15319,Henry Czerny
20173,Don McKellar
9045,Stephen Baldwin
5168,Gabriel Byrne
9046,Chazz Palminteri
4935,Pete Postlethwaite
2179,Suzy Amis
4808,Giancarlo Esposito
1121,Benicio del Toro
101377,Paul Bartel
56166,Carl Bressler
9047,Christine Estabrook
9048,Clark Gregg
156227,Morgan Hunter
3218,Louis Lombardi
1216752,Frank Medrano
1235937,Ron Gilbert
74375,Cynthia Rothrock
63941,Marshall R. Teague
1093379,Daniel McVicar
42137,Lydie Denier
53552,John O'Leary
112159,Art Camacho
62715,Robert Miano
1243,Woody Allen
23931,Mira Sorvino
1283,Helena Bonham Carter
1164,F. Murray Abraham
10560,Donald Symington
29545,Claire Bloom
3019,Olympia Dukakis
4688,Michael Rapaport
5251,Jack Warden
27811,Peter Weller
1161048,Danielle Ferland
27392,Enrico Lo Verso
25819,Michele Placido
1149435,Piro Milkani
1180060,Carmelo Di Mazzarelli
1904515,Marjeta Ljarja
46423,Olivia d'Abo
6067,Jay O. Sanders
8659,John Terry
69395,Bug Hall
148587,Jessica Robertson
69740,Patrick Renna
21735,Billy L. Sullivan
88599,Chauncey Leopardi
137391,Jordan Brower
148591,Hayley Kolb
148593,Haley Miller
148594,Ashley Welch
10431,Jennifer Jason Leigh
51544,Mare Winningham
7268,Max Perlich
42746,John Doe
4764,John C. Reilly
590356,Jimmy Witherspoon
52308,Jason Carter
198643,Johnny Morina
56890,Malcolm McDowell
41743,Maggie Castle
1569328,James Rae
11086,Michael Ironside
1466,Charles Durning
32597,Dylan McDermott
400,Geraldine Chaplin
11064,David Strathairn
65528,Cynthia Stevenson
24366,Philippe Noiret
67792,Massimo Troisi
10777,Maria Grazia Cucinotta
14149,Renato Scarpa
538696,Linda Moretti
24290,Mariano Rigillo
225301,Anna Bonaiuto
1351952,Simona Caparrini
1352578,Carlo Di Maio
1352580,Nando Neri
1352582,Vincenzo Di Sauro
1189964,Orazio Stracuzzi
1151165,Sergio Solli
1352583,Alfredo Cozzolino
38524,Lothaire Bluteau
1019878,Patrick Goyette
1019879,Jean-Louis Millette
223877,Ron Burrage
69301,Hal Scardino
69302,Litefoot
32225,Lindsay Crouse
1318612,Rishi Bhat
4581,Steve Coogan
18181,David Keith
34200,Sakina Jaffrey
52646,Vincent Kartheiser
14331,Nestor Serrano
35,Sally Field
2628,Kiefer Sutherland
821,Beverly D'Angelo
33689,Charlayne Woodard
3266,Joe Mantegna
27261,Olivia Burnette
157108,Alexandra Kyle
4492,Philip Baker Hall
65017,Natalija Nogulich
29446,Armin Shimerman
8539,Nicholas Cascone
51188,Darrell Larson
173264,Wanda Acuna
170074,Sierra Pecheur
21104,Glenne Headly
21105,Jay Thomas
3905,William H. Macy
21107,Nicholas John Renner
21108,Joseph Anderson
21109,Anthony Natale
26495,Jean Louisa Kelly
39597,Damon Whitaker
146182,Alexandra Boyd
20747,Joanna Gleason
1881495,Beth Maitland
85422,Joshua Minnick
35690,Shawn Wayans
9562,Marlon Wayans
66131,Tracey Cherelle Jones
27590,Chris Spencer
2535,Vivica A. Fox
66132,Rappin' Granny
1214127,Suli McCullough
1897,Bernie Mac
62066,Faizon Love
35689,Keenen Ivory Wayans
95189,Kim Wayans
111872,Helen Martin
154272,Virginia Watson
83102,Darrel Heath
18277,Sandra Bullock
5724,Denis Leary
5050,Yaphet Kotto
8435,Stephen Dillane
191140,Julia Montgomery Brown
1183958,Claire Rankin
1362948,Jane Moffat
5170,Mike Starr
17243,Jonathan Tucker
5897,Wayne Robson
1010,Michael Badalucco
64998,Pauly Shore
16484,Joey Lauren Adams
43433,Teresa Hill
7676,William Atherton
57868,Dara Tomanovich
57869,Kevin West
23970,Denise Dowse
12207,Kylie Minogue
22297,Kyle Gass
16850,Rose McGowan
29459,Patrick Bergin
40009,Matt Frewer
58119,Austin O'Brien
36898,Ely Pouget
72612,Camille Cooper
1192629,Patrick LaBrecque
1384185,Crystal Celeste Grant
1384186,Sean P. Young
1221555,Mathew Valencia
27116,Kevin Conway
59016,Trever O'Brien
65748,Richard Fancy
3979,Castulo Guerra
28640,Molly Shannon
1219510,Ellis E. Williams
124150,Jerry Barone
1161,Mary Elizabeth Mastrantonio
25879,Geoff Pierson
25256,Victoria Abril
35137,Josiane Balasko
4275,Alain Chabat
35908,Catherine Hiegel
38402,Katrine Boorman
38403,Telsche Boorman
38404,Véronique Barrault
9778,Ice Cube
9781,Nia Long
8396,Tom Lister Jr.
56902,John Witherspoon
54800,Anna Maria Horsford
9788,Regina King
45245,Paula Jai Parker
65134,DJ Pooh
19754,Tony Cox
83101,Anthony Johnson
22122,Meagan Good
74613,Terri J. Vaughn
37932,F. Gary Gray
97781,Reynaldo Rey
61981,Michael Clarke Duncan
1461,George Clooney
1037,Harvey Keitel
3196,Juliette Lewis
11158,Ernest Liu
11159,Cheech Marin
11161,Tom Savini
9811,Fred Williamson
2536,Michael Parks
11162,Brenda Hillhouse
11163,John Saxon
11164,Kelly Preston
16861,John Hawkes
53763,Tito Larriva
1089505,Peter Atanasoff
1089510,Johnny Vatos Hernandez
35545,Aimee Graham
982183,Heidi McNeal
931730,Ernest M. Garcia
59287,Gregory Nicotero
139997,Cristos
100260,Mike Moroff
68430,Tia Texada
1830654,Janine Jordae
41691,Ungela Brockman
1265433,Michelle Berube
1027008,Michael McKay
555328,Jake McKinnon
115244,Walter Phelan
1042415,Wayne Toth
13021,William Baldwin
33665,Cindy Crawford
782,Steven Berkoff
4443,Christopher McDonald
170954,Johann Carlo
60118,John Bedford Lloyd
3981,Jenette Goldstein
53573,Olek Krupa
106066,Gustav Vintas
6908,Marc Macaulay
1434041,Ruben Rabasa
63214,Sonny Carl Davis
20562,Antoni Corone
52419,Josh Hamilton
52930,Carlos Jacott
7036,Eric Stoltz
78190,Chris Eigeman
81373,Jason Wiles
7489,Parker Posey
21967,Samuel Gould
10130,Catherine Kellner
1052883,Jonathan Baumbach
54474,Peter Czernin
55207,Eliza Roberts
76989,Christopher Reed
5656,Noah Baumbach
64057,Dean Cameron
827,Elliott Gould
97600,David DeLuise
20047,Cara Buono
